Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient2	p2_t1	0	1	15
patient2	p2_t1	0	2	35
patient2	p2_t1	0	3	0
patient2	p2_t1	0	4	49
patient2	p2_t1	0	5	1
patient2	p2_t1	0	6	0
patient2	p2_t1	1	1	29
patient2	p2_t1	1	2	21
patient2	p2_t1	1	3	0
patient2	p2_t1	1	4	49
patient2	p2_t1	1	5	1
patient2	p2_t1	1	6	0
patient2	p2_t1	2	1	36
patient2	p2_t1	2	2	14
patient2	p2_t1	2	3	0
patient2	p2_t1	2	4	33
patient2	p2_t1	2	5	1
patient2	p2_t1	2	6	16
patient2	p2_t1	3	1	0
patient2	p2_t1	3	2	50
patient2	p2_t1	3	3	0
patient2	p2_t1	3	4	49
patient2	p2_t1	3	5	1
patient2	p2_t1	3	6	0
patient2	p2_t1	4	1	28
patient2	p2_t1	4	2	22
patient2	p2_t1	4	3	0
patient2	p2_t1	4	4	35
patient2	p2_t1	4	5	1
patient2	p2_t1	4	6	14
patient2	p2_t1	5	1	50
patient2	p2_t1	5	2	0
patient2	p2_t1	5	3	0
patient2	p2_t1	5	4	49
patient2	p2_t1	5	5	1
patient2	p2_t1	5	6	0
patient2	p2_t1	6	1	30
patient2	p2_t1	6	2	20
patient2	p2_t1	6	3	0
patient2	p2_t1	6	4	49
patient2	p2_t1	6	5	1
patient2	p2_t1	6	6	0
patient2	p2_t1	7	1	30
patient2	p2_t1	7	2	20
patient2	p2_t1	7	3	0
patient2	p2_t1	7	4	49
patient2	p2_t1	7	5	1
patient2	p2_t1	7	6	0
patient2	p2_t1	8	1	16
patient2	p2_t1	8	2	36
patient2	p2_t1	8	3	0
patient2	p2_t1	8	4	47
patient2	p2_t1	8	5	1
patient2	p2_t1	8	6	0
patient2	p2_t1	9	1	51
patient2	p2_t1	9	2	0
patient2	p2_t1	9	3	0
patient2	p2_t1	9	4	48
patient2	p2_t1	9	5	1
patient2	p2_t1	9	6	0
patient2	p2_t1	10	1	23
patient2	p2_t1	10	2	27
patient2	p2_t1	10	3	0
patient2	p2_t1	10	4	49
patient2	p2_t1	10	5	1
