Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient2	p2_t1	0	1	3
patient2	p2_t1	0	2	47
patient2	p2_t1	0	3	21
patient2	p2_t1	0	4	1
patient2	p2_t1	0	5	20
patient2	p2_t1	0	6	8
patient2	p2_t1	1	1	2
patient2	p2_t1	1	2	48
patient2	p2_t1	1	3	25
patient2	p2_t1	1	4	1
patient2	p2_t1	1	5	19
patient2	p2_t1	1	6	5
patient2	p2_t1	2	1	3
patient2	p2_t1	2	2	47
patient2	p2_t1	2	3	18
patient2	p2_t1	2	4	1
patient2	p2_t1	2	5	23
patient2	p2_t1	2	6	8
patient2	p2_t1	3	1	2
patient2	p2_t1	3	2	48
patient2	p2_t1	3	3	25
patient2	p2_t1	3	4	1
patient2	p2_t1	3	5	20
patient2	p2_t1	3	6	4
patient2	p2_t1	4	1	2
patient2	p2_t1	4	2	48
patient2	p2_t1	4	3	22
patient2	p2_t1	4	4	1
patient2	p2_t1	4	5	24
patient2	p2_t1	4	6	3
patient2	p2_t1	5	1	3
patient2	p2_t1	5	2	47
patient2	p2_t1	5	3	23
patient2	p2_t1	5	4	1
patient2	p2_t1	5	5	23
patient2	p2_t1	5	6	3
patient2	p2_t1	6	1	4
patient2	p2_t1	6	2	47
patient2	p2_t1	6	3	25
patient2	p2_t1	6	4	1
patient2	p2_t1	6	5	21
patient2	p2_t1	6	6	2
patient2	p2_t1	7	1	3
patient2	p2_t1	7	2	48
patient2	p2_t1	7	3	13
patient2	p2_t1	7	4	1
patient2	p2_t1	7	5	23
patient2	p2_t1	7	6	12
patient2	p2_t1	8	1	2
patient2	p2_t1	8	2	48
patient2	p2_t1	8	3	24
patient2	p2_t1	8	4	1
patient2	p2_t1	8	5	22
patient2	p2_t1	8	6	3
patient2	p2_t1	9	1	2
patient2	p2_t1	9	2	48
patient2	p2_t1	9	3	22
patient2	p2_t1	9	4	1
patient2	p2_t1	9	5	21
patient2	p2_t1	9	6	6
patient2	p2_t1	10	1	2
patient2	p2_t1	10	2	48
patient2	p2_t1	10	3	24
patient2	p2_t1	10	4	1
patient2	p2_t1	10	5	22
patient2	p2_t1	10	6	3
patient2	p2_t1	11	1	2
patient2	p2_t1	11	2	48
patient2	p2_t1	11	3	21
patient2	p2_t1	11	4	1
patient2	p2_t1	11	5	23
patient2	p2_t1	11	6	5
patient2	p2_t1	12	1	2
patient2	p2_t1	12	2	48
patient2	p2_t1	12	3	25
patient2	p2_t1	12	4	1
patient2	p2_t1	12	5	22
patient2	p2_t1	12	6	2
patient2	p2_t1	13	1	2
patient2	p2_t1	13	2	48
patient2	p2_t1	13	3	24
patient2	p2_t1	13	4	1
patient2	p2_t1	13	5	20
patient2	p2_t1	13	6	5
patient2	p2_t1	14	1	2
patient2	p2_t1	14	2	48
patient2	p2_t1	14	3	3
patient2	p2_t1	14	4	1
patient2	p2_t1	14	5	21
patient2	p2_t1	14	6	25
patient2	p2_t1	15	1	2
patient2	p2_t1	15	2	48
patient2	p2_t1	15	3	15
patient2	p2_t1	15	4	1
patient2	p2_t1	15	5	23
patient2	p2_t1	15	6	11
patient2	p2_t1	16	1	2
patient2	p2_t1	16	2	48
patient2	p2_t1	16	3	21
patient2	p2_t1	16	4	1
patient2	p2_t1	16	5	22
patient2	p2_t1	16	6	6
patient2	p2_t1	17	1	2
patient2	p2_t1	17	2	48
