Patient_ID	Sample_ID	Cell_population	Cell_abundance
patient2	p2_t1	CL1	2
patient2	p2_t1	CL1_CL2	48
patient2	p2_t1	CL1_CL3	18
patient2	p2_t1	CL1_CL2_CL4	1
patient2	p2_t1	CL1_CL3_CL5	22
patient2	p2_t1	CL1_CL3_CL6	9
patient2	p2_t2	CL1	0
patient2	p2_t2	CL1_CL2	56
patient2	p2_t2	CL1_CL3	5
patient2	p2_t2	CL1_CL2_CL4	13
patient2	p2_t2	CL1_CL3_CL5	13
patient2	p2_t2	CL1_CL3_CL6	13
patient2	p2_t3	CL1	8
patient2	p2_t3	CL1_CL2	15
patient2	p2_t3	CL1_CL3	0
patient2	p2_t3	CL1_CL2_CL4	59
patient2	p2_t3	CL1_CL3_CL5	0
patient2	p2_t3	CL1_CL3_CL6	18
