Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.007958745081631101	0.007958745081631101	0.015917490163262202
2	1	115116963	1.0	0.625	115116962	5755	115	1.625	0.012559307629658378	0.012559307629658378	0.025118615259316756
2	115116963	129712734	2.5	1.0	14595771	729	14	3.5	0.00923223145804069	0.00923223145804069	0.01846446291608138
2	129712734	243199373	1.0	0.625	113486639	5674	113	1.625	0.007872011523172708	0.007872011523172708	0.015744023046345416
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.005510484910954992	0.005510484910954992	0.011020969821909985
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.010381592949436094	0.010381592949436094	0.02076318589887219
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.005755191991686399	0.005755191991686399	0.011510383983372797
6	1	35374696	1.0	0.9538461538461538	35374695	1768	35	1.9538461538461538	0.022235244130326567	0.022235244130326567	0.044470488260653133
6	35374696	39327455	1.0	0.9538461538461538	3952759	197	3	1.9538461538461538	0.03314912182053814	0.03314912182053814	0.06629824364107628
6	39327455	171115067	1.0	0.9538461538461538	131787612	6589	131	1.9538461538461538	0.004836021009022533	0.004836021009022533	0.009672042018045066
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.015688961399691684	0.015688961399691684	0.03137792279938337
8	1	45697804	1.0	0.25	45697803	2284	45	1.25	0.0075267410953658844	0.0075267410953658844	0.015053482190731769
8	45697804	48663006	1.0	0.25	2965202	148	2	1.25	0.00839432846738823	0.00839432846738823	0.01678865693477646
8	48663006	141858107	1.0	0.25	93195101	4659	93	1.25	0.025982541539254406	0.025982541539254406	0.05196508307850881
8	141858107	143391095	1.0	0.5	1532988	76	1	1.5	0.0007368535491284788	0.0007368535491284788	0.0014737070982569576
8	143391095	146364022	1.0	0.25	2972927	148	2	1.25	0.0009116102911900048	0.0009116102911900048	0.0018232205823800096
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.0002042558668422495	0.0002042558668422495	0.000408511733684499
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.01787487679614888	0.01787487679614888	0.03574975359229776
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.015057842318652155	0.015057842318652155	0.03011568463730431
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.02040314280945551	0.02040314280945551	0.04080628561891102
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.03845221838166849	0.03845221838166849	0.07690443676333698
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.01605239558950146	0.01605239558950146	0.03210479117900292
12	66925947	133851895	1.0	0.8153846153846154	66925948	3346	66	1.8153846153846154	0.006189294586129685	0.006189294586129685	0.01237858917225937
13	1	9466822	1.75	1.0	9466821	473	9	2.75	0.015165359768801517	0.015165359768801517	0.030330719537603034
13	9466822	11576166	2.3038461538461537	1.0	2109344	105	2	3.3038461538461537	0.001258744118305428	0.001258744118305428	0.002517488236610856
13	11576166	115169878	1.75	1.0	103593712	5179	103	2.75	0.010214318863920728	0.010214318863920728	0.020428637727841457
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	0.001547296827276452	0.001547296827276452	0.003094593654552904
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.02894420449691526	0.02894420449691526	0.05788840899383052
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.007378272783110587	0.007378272783110587	0.014756545566221173
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.005355657183007563	0.005355657183007563	0.010711314366015126
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.0030728035309045376	0.0030728035309045376	0.006145607061809075
18	1	78077248	1.25	1.0	78077247	3903	78	2.25	0.014882548387267349	0.014882548387267349	0.029765096774534698
19	1	59128983	1.9538461538461538	1.0	59128982	2956	59	2.953846153846154	0.00609082416303085	0.00609082416303085	0.0121816483260617
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.008403347068676119	0.008403347068676119	0.016806694137352238
20	42024600	42424646	1.25	1.0	400046	20	0	2.25	0.00018968571662383892	0.00018968571662383892	0.00037937143324767784
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.009613809291948595	0.009613809291948595	0.01922761858389719
21	1	24064947	1.25	1.0	24064946	1203	24	2.25	0.009469966778437781	0.009469966778437781	0.018939933556875562
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.009595479727292359	0.009595479727292359	0.019190959454584718
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.028779150787410234	0.028779150787410234	0.05755830157482047
22	3123242	4346182	0.7692307692307692	0.0	1222940	61	1	0.7692307692307692	0.011451389586503762	0.011451389586503762	0.022902779173007523
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.004455184927312393	0.004455184927312393	0.008910369854624785
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.0057453240875748315	0.0057453240875748315	0.011490648175149663
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	0.011961078011333701	0.011961078011333701	0.023922156022667403
