Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient1	p1_t1	0	1	0
patient1	p1_t1	0	2	0
patient1	p1_t1	0	3	5
patient1	p1_t1	0	4	12
patient1	p1_t1	0	5	62
patient1	p1_t1	0	6	0
patient1	p1_t1	0	7	21
patient1	p1_t1	1	1	0
patient1	p1_t1	1	2	0
patient1	p1_t1	1	3	34
patient1	p1_t1	1	4	0
patient1	p1_t1	1	5	63
patient1	p1_t1	1	6	1
patient1	p1_t1	1	7	2
patient1	p1_t1	2	1	0
patient1	p1_t1	2	2	0
patient1	p1_t1	2	3	9
patient1	p1_t1	2	4	14
patient1	p1_t1	2	5	60
patient1	p1_t1	2	6	1
patient1	p1_t1	2	7	16
patient1	p1_t1	3	1	0
patient1	p1_t1	3	2	0
patient1	p1_t1	3	3	0
patient1	p1_t1	3	4	48
patient1	p1_t1	3	5	30
patient1	p1_t1	3	6	1
patient1	p1_t1	3	7	21
patient1	p1_t1	4	1	0
patient1	p1_t1	4	2	0
patient1	p1_t1	4	3	0
patient1	p1_t1	4	4	45
patient1	p1_t1	4	5	31
patient1	p1_t1	4	6	0
patient1	p1_t1	4	7	24
patient1	p1_t1	5	1	0
patient1	p1_t1	5	2	0
patient1	p1_t1	5	3	0
patient1	p1_t1	5	4	52
patient1	p1_t1	5	5	31
patient1	p1_t1	5	6	0
patient1	p1_t1	5	7	17
patient1	p1_t1	6	1	0
patient1	p1_t1	6	2	0
patient1	p1_t1	6	3	0
patient1	p1_t1	6	4	22
patient1	p1_t1	6	5	63
patient1	p1_t1	6	6	0
patient1	p1_t1	6	7	15
patient1	p1_t1	7	1	0
patient1	p1_t1	7	2	0
patient1	p1_t1	7	3	3
patient1	p1_t1	7	4	13
patient1	p1_t1	7	5	61
patient1	p1_t1	7	6	0
patient1	p1_t1	7	7	23
patient1	p1_t1	8	1	0
patient1	p1_t1	8	2	0
patient1	p1_t1	8	3	0
patient1	p1_t1	8	4	45
patient1	p1_t1	8	5	32
patient1	p1_t1	8	6	0
patient1	p1_t1	8	7	23
patient1	p1_t1	9	1	0
patient1	p1_t1	9	2	0
patient1	p1_t1	9	3	1
patient1	p1_t1	9	4	12
patient1	p1_t1	9	5	65
patient1	p1_t1	9	6	1
patient1	p1_t1	9	7	21
patient1	p1_t1	10	1	0
patient1	p1_t1	10	2	0
patient1	p1_t1	10	3	37
patient1	p1_t1	10	4	0
patient1	p1_t1	10	5	63
patient1	p1_t1	10	6	0
patient1	p1_t1	10	7	0
patient1	p1_t1	11	1	0
patient1	p1_t1	11	2	0
patient1	p1_t1	11	3	0
patient1	p1_t1	11	4	12
patient1	p1_t1	11	5	65
patient1	p1_t1	11	6	1
patient1	p1_t1	11	7	22
patient1	p1_t1	12	1	0
patient1	p1_t1	12	2	0
patient1	p1_t1	12	3	35
patient1	p1_t1	12	4	0
patient1	p1_t1	12	5	62
patient1	p1_t1	12	6	0
patient1	p1_t1	12	7	3
patient1	p1_t1	13	1	0
patient1	p1_t1	13	2	0
patient1	p1_t1	13	3	0
patient1	p1_t1	13	4	47
patient1	p1_t1	13	5	33
patient1	p1_t1	13	6	0
patient1	p1_t1	13	7	20
patient1	p1_t1	14	1	0
patient1	p1_t1	14	2	0
patient1	p1_t1	14	3	33
patient1	p1_t1	14	4	0
patient1	p1_t1	14	5	65
patient1	p1_t1	14	6	0
patient1	p1_t1	14	7	2
patient1	p1_t1	15	1	0
patient1	p1_t1	15	2	0
patient1	p1_t1	15	3	0
patient1	p1_t1	15	4	50
patient1	p1_t1	15	5	31
patient1	p1_t1	15	6	0
patient1	p1_t1	15	7	19
patient1	p1_t1	16	1	0
patient1	p1_t1	16	2	0
patient1	p1_t1	16	3	36
patient1	p1_t1	16	4	0
patient1	p1_t1	16	5	64
patient1	p1_t1	16	6	0
patient1	p1_t1	16	7	0
patient1	p1_t1	17	1	0
patient1	p1_t1	17	2	0
patient1	p1_t1	17	3	0
patient1	p1_t1	17	4	54
patient1	p1_t1	17	5	30
patient1	p1_t1	17	6	1
patient1	p1_t1	17	7	15
patient1	p1_t1	18	1	0
patient1	p1_t1	18	2	0
patient1	p1_t1	18	3	6
patient1	p1_t1	18	4	8
patient1	p1_t1	18	5	62
patient1	p1_t1	18	6	1
patient1	p1_t1	18	7	23
patient1	p1_t1	19	1	0
patient1	p1_t1	19	2	0
patient1	p1_t1	19	3	0
patient1	p1_t1	19	4	48
patient1	p1_t1	19	5	31
patient1	p1_t1	19	6	0
patient1	p1_t1	19	7	21
patient1	p1_t1	20	1	0
patient1	p1_t1	20	2	0
patient1	p1_t1	20	3	0
patient1	p1_t1	20	4	46
patient1	p1_t1	20	5	30
patient1	p1_t1	20	6	1
patient1	p1_t1	20	7	23
patient1	p1_t1	21	1	0
patient1	p1_t1	21	2	0
patient1	p1_t1	21	3	0
patient1	p1_t1	21	4	51
patient1	p1_t1	21	5	31
patient1	p1_t1	21	6	0
patient1	p1_t1	21	7	18
patient1	p1_t1	22	1	0
patient1	p1_t1	22	2	0
patient1	p1_t1	22	3	0
patient1	p1_t1	22	4	55
patient1	p1_t1	22	5	31
patient1	p1_t1	22	6	0
patient1	p1_t1	22	7	14
patient1	p1_t1	23	1	0
patient1	p1_t1	23	2	0
patient1	p1_t1	23	3	0
patient1	p1_t1	23	4	50
patient1	p1_t1	23	5	31
patient1	p1_t1	23	6	0
patient1	p1_t1	23	7	19
patient1	p1_t1	24	1	0
patient1	p1_t1	24	2	0
patient1	p1_t1	24	3	0
patient1	p1_t1	24	4	48
patient1	p1_t1	24	5	31
patient1	p1_t1	24	6	0
patient1	p1_t1	24	7	21
patient1	p1_t1	25	1	0
patient1	p1_t1	25	2	0
patient1	p1_t1	25	3	0
patient1	p1_t1	25	4	47
patient1	p1_t1	25	5	31
patient1	p1_t1	25	6	0
patient1	p1_t1	25	7	22
patient1	p1_t1	26	1	0
patient1	p1_t1	26	2	0
patient1	p1_t1	26	3	6
patient1	p1_t1	26	4	9
patient1	p1_t1	26	5	62
patient1	p1_t1	26	6	0
patient1	p1_t1	26	7	23
patient1	p1_t1	27	1	0
patient1	p1_t1	27	2	0
patient1	p1_t1	27	3	2
patient1	p1_t1	27	4	20
patient1	p1_t1	27	5	60
patient1	p1_t1	27	6	0
patient1	p1_t1	27	7	18
patient1	p1_t1	28	1	0
patient1	p1_t1	28	2	0
patient1	p1_t1	28	3	0
patient1	p1_t1	28	4	14
patient1	p1_t1	28	5	66
patient1	p1_t1	28	6	0
patient1	p1_t1	28	7	20
patient1	p1_t1	29	1	0
patient1	p1_t1	29	2	0
patient1	p1_t1	29	3	0
patient1	p1_t1	29	4	45
patient1	p1_t1	29	5	32
patient1	p1_t1	29	6	0
patient1	p1_t1	29	7	23
patient1	p1_t1	30	1	0
patient1	p1_t1	30	2	0
patient1	p1_t1	30	3	0
patient1	p1_t1	30	4	50
patient1	p1_t1	30	5	31
patient1	p1_t1	30	6	0
patient1	p1_t1	30	7	19
patient1	p1_t1	31	1	0
patient1	p1_t1	31	2	0
patient1	p1_t1	31	3	7
patient1	p1_t1	31	4	9
patient1	p1_t1	31	5	61
patient1	p1_t1	31	6	1
patient1	p1_t1	31	7	22
patient1	p1_t1	32	1	0
patient1	p1_t1	32	2	0
patient1	p1_t1	32	3	0
patient1	p1_t1	32	4	43
patient1	p1_t1	32	5	33
patient1	p1_t1	32	6	0
patient1	p1_t1	32	7	24
patient1	p1_t1	33	1	0
patient1	p1_t1	33	2	0
patient1	p1_t1	33	3	0
patient1	p1_t1	33	4	50
patient1	p1_t1	33	5	31
patient1	p1_t1	33	6	1
patient1	p1_t1	33	7	18
patient1	p1_t1	34	1	0
patient1	p1_t1	34	2	0
patient1	p1_t1	34	3	0
patient1	p1_t1	34	4	46
patient1	p1_t1	34	5	30
patient1	p1_t1	34	6	1
patient1	p1_t1	34	7	23
patient1	p1_t1	35	1	0
patient1	p1_t1	35	2	0
patient1	p1_t1	35	3	28
patient1	p1_t1	35	4	0
patient1	p1_t1	35	5	62
patient1	p1_t1	35	6	0
patient1	p1_t1	35	7	9
patient1	p1_t1	36	1	0
patient1	p1_t1	36	2	0
patient1	p1_t1	36	3	0
patient1	p1_t1	36	4	48
patient1	p1_t1	36	5	30
patient1	p1_t1	36	6	1
patient1	p1_t1	36	7	21
patient1	p1_t1	37	1	0
patient1	p1_t1	37	2	0
patient1	p1_t1	37	3	0
patient1	p1_t1	37	4	49
patient1	p1_t1	37	5	30
patient1	p1_t1	37	6	1
patient1	p1_t1	37	7	20
patient1	p1_t1	38	1	0
patient1	p1_t1	38	2	0
patient1	p1_t1	38	3	0
patient1	p1_t1	38	4	50
patient1	p1_t1	38	5	30
patient1	p1_t1	38	6	1
patient1	p1_t1	38	7	19
patient1	p1_t1	39	1	0
patient1	p1_t1	39	2	0
patient1	p1_t1	39	3	38
patient1	p1_t1	39	4	0
patient1	p1_t1	39	5	61
patient1	p1_t1	39	6	0
patient1	p1_t1	39	7	1
patient1	p1_t1	40	1	0
patient1	p1_t1	40	2	0
patient1	p1_t1	40	3	11
patient1	p1_t1	40	4	13
patient1	p1_t1	40	5	55
patient1	p1_t1	40	6	0
patient1	p1_t1	40	7	21
patient1	p1_t1	41	1	0
patient1	p1_t1	41	2	0
patient1	p1_t1	41	3	13
patient1	p1_t1	41	4	13
patient1	p1_t1	41	5	56
patient1	p1_t1	41	6	1
patient1	p1_t1	41	7	17
patient1	p1_t1	42	1	0
patient1	p1_t1	42	2	0
patient1	p1_t1	42	3	0
patient1	p1_t1	42	4	48
patient1	p1_t1	42	5	31
patient1	p1_t1	42	6	0
patient1	p1_t1	42	7	21
patient1	p1_t1	43	1	0
patient1	p1_t1	43	2	0
patient1	p1_t1	43	3	0
patient1	p1_t1	43	4	45
patient1	p1_t1	43	5	30
patient1	p1_t1	43	6	1
patient1	p1_t1	43	7	24
patient1	p1_t1	44	1	0
patient1	p1_t1	44	2	0
patient1	p1_t1	44	3	0
patient1	p1_t1	44	4	53
patient1	p1_t1	44	5	30
patient1	p1_t1	44	6	1
patient1	p1_t1	44	7	16
patient1	p1_t1	45	1	0
patient1	p1_t1	45	2	0
patient1	p1_t1	45	3	0
patient1	p1_t1	45	4	52
patient1	p1_t1	45	5	32
patient1	p1_t1	45	6	0
patient1	p1_t1	45	7	16
patient1	p1_t1	46	1	0
patient1	p1_t1	46	2	0
patient1	p1_t1	46	3	0
patient1	p1_t1	46	4	50
patient1	p1_t1	46	5	30
patient1	p1_t1	46	6	1
patient1	p1_t1	46	7	19
patient1	p1_t1	47	1	0
patient1	p1_t1	47	2	0
patient1	p1_t1	47	3	0
patient1	p1_t1	47	4	48
patient1	p1_t1	47	5	30
patient1	p1_t1	47	6	0
patient1	p1_t1	47	7	21
patient1	p1_t1	48	1	0
patient1	p1_t1	48	2	0
patient1	p1_t1	48	3	0
patient1	p1_t1	48	4	48
patient1	p1_t1	48	5	30
patient1	p1_t1	48	6	1
patient1	p1_t1	48	7	21
patient1	p1_t1	49	1	0
patient1	p1_t1	49	2	0
patient1	p1_t1	49	3	31
patient1	p1_t1	49	4	0
patient1	p1_t1	49	5	67
patient1	p1_t1	49	6	1
patient1	p1_t1	49	7	1
patient1	p1_t1	50	1	0
patient1	p1_t1	50	2	0
patient1	p1_t1	50	3	34
patient1	p1_t1	50	4	0
patient1	p1_t1	50	5	62
patient1	p1_t1	50	6	0
patient1	p1_t1	50	7	4
patient1	p1_t1	51	1	0
patient1	p1_t1	51	2	0
patient1	p1_t1	51	3	17
patient1	p1_t1	51	4	9
patient1	p1_t1	51	5	52
patient1	p1_t1	51	6	1
patient1	p1_t1	51	7	21
patient1	p1_t1	52	1	0
patient1	p1_t1	52	2	0
patient1	p1_t1	52	3	0
patient1	p1_t1	52	4	48
patient1	p1_t1	52	5	30
patient1	p1_t1	52	6	1
patient1	p1_t1	52	7	21
patient1	p1_t1	53	1	0
patient1	p1_t1	53	2	0
patient1	p1_t1	53	3	0
patient1	p1_t1	53	4	15
patient1	p1_t1	53	5	68
patient1	p1_t1	53	6	1
patient1	p1_t1	53	7	16
patient1	p1_t1	54	1	0
patient1	p1_t1	54	2	0
patient1	p1_t1	54	3	0
patient1	p1_t1	54	4	47
patient1	p1_t1	54	5	30
patient1	p1_t1	54	6	1
patient1	p1_t1	54	7	22
patient1	p1_t1	55	1	0
patient1	p1_t1	55	2	0
patient1	p1_t1	55	3	0
patient1	p1_t1	55	4	46
patient1	p1_t1	55	5	30
patient1	p1_t1	55	6	1
patient1	p1_t1	55	7	23
patient1	p1_t1	56	1	0
patient1	p1_t1	56	2	0
patient1	p1_t1	56	3	0
patient1	p1_t1	56	4	51
patient1	p1_t1	56	5	31
patient1	p1_t1	56	6	0
patient1	p1_t1	56	7	18
patient1	p1_t1	57	1	0
patient1	p1_t1	57	2	0
patient1	p1_t1	57	3	0
patient1	p1_t1	57	4	48
patient1	p1_t1	57	5	31
patient1	p1_t1	57	6	0
patient1	p1_t1	57	7	21
patient1	p1_t1	58	1	0
patient1	p1_t1	58	2	0
patient1	p1_t1	58	3	15
patient1	p1_t1	58	4	9
patient1	p1_t1	58	5	52
patient1	p1_t1	58	6	1
patient1	p1_t1	58	7	23
patient1	p1_t1	59	1	0
patient1	p1_t1	59	2	0
patient1	p1_t1	59	3	0
patient1	p1_t1	59	4	19
patient1	p1_t1	59	5	58
patient1	p1_t1	59	6	1
patient1	p1_t1	59	7	22
patient1	p1_t1	60	1	0
patient1	p1_t1	60	2	0
patient1	p1_t1	60	3	35
patient1	p1_t1	60	4	0
patient1	p1_t1	60	5	61
patient1	p1_t1	60	6	1
patient1	p1_t1	60	7	3
patient1	p1_t1	61	1	0
patient1	p1_t1	61	2	0
patient1	p1_t1	61	3	38
patient1	p1_t1	61	4	0
patient1	p1_t1	61	5	59
patient1	p1_t1	61	6	0
patient1	p1_t1	61	7	3
patient1	p1_t1	62	1	0
patient1	p1_t1	62	2	0
patient1	p1_t1	62	3	1
patient1	p1_t1	62	4	14
patient1	p1_t1	62	5	66
patient1	p1_t1	62	6	0
patient1	p1_t1	62	7	19
patient1	p1_t1	63	1	0
patient1	p1_t1	63	2	0
patient1	p1_t1	63	3	0
patient1	p1_t1	63	4	49
patient1	p1_t1	63	5	31
patient1	p1_t1	63	6	1
patient1	p1_t1	63	7	19
patient1	p1_t1	64	1	0
patient1	p1_t1	64	2	0
patient1	p1_t1	64	3	38
patient1	p1_t1	64	4	0
patient1	p1_t1	64	5	61
patient1	p1_t1	64	6	0
patient1	p1_t1	64	7	0
patient1	p1_t1	65	1	0
patient1	p1_t1	65	2	0
patient1	p1_t1	65	3	0
patient1	p1_t1	65	4	49
patient1	p1_t1	65	5	32
patient1	p1_t1	65	6	0
patient1	p1_t1	65	7	19
