Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient1	p1_t1	0	1	0
patient1	p1_t1	0	2	18
patient1	p1_t1	0	3	69
patient1	p1_t1	0	4	0
patient1	p1_t1	0	5	13
patient1	p1_t1	0	6	0
patient1	p1_t1	1	1	0
patient1	p1_t1	1	2	14
patient1	p1_t1	1	3	69
patient1	p1_t1	1	4	0
patient1	p1_t1	1	5	16
patient1	p1_t1	1	6	1
patient1	p1_t1	2	1	0
patient1	p1_t1	2	2	17
patient1	p1_t1	2	3	69
patient1	p1_t1	2	4	0
patient1	p1_t1	2	5	14
patient1	p1_t1	2	6	0
patient1	p1_t1	3	1	0
patient1	p1_t1	3	2	18
patient1	p1_t1	3	3	69
patient1	p1_t1	3	4	0
patient1	p1_t1	3	5	13
patient1	p1_t1	3	6	0
patient1	p1_t1	4	1	0
patient1	p1_t1	4	2	16
patient1	p1_t1	4	3	68
patient1	p1_t1	4	4	0
patient1	p1_t1	4	5	14
patient1	p1_t1	4	6	1
patient1	p1_t1	5	1	0
patient1	p1_t1	5	2	18
patient1	p1_t1	5	3	69
patient1	p1_t1	5	4	0
patient1	p1_t1	5	5	12
patient1	p1_t1	5	6	1
patient1	p1_t1	6	1	0
patient1	p1_t1	6	2	17
patient1	p1_t1	6	3	67
patient1	p1_t1	6	4	0
patient1	p1_t1	6	5	15
patient1	p1_t1	6	6	1
patient1	p1_t1	7	1	0
patient1	p1_t1	7	2	17
patient1	p1_t1	7	3	69
patient1	p1_t1	7	4	0
patient1	p1_t1	7	5	14
patient1	p1_t1	7	6	0
patient1	p1_t1	8	1	0
patient1	p1_t1	8	2	18
patient1	p1_t1	8	3	69
patient1	p1_t1	8	4	0
patient1	p1_t1	8	5	13
patient1	p1_t1	8	6	0
patient1	p1_t1	9	1	0
patient1	p1_t1	9	2	16
patient1	p1_t1	9	3	69
patient1	p1_t1	9	4	0
patient1	p1_t1	9	5	14
patient1	p1_t1	9	6	1
patient1	p1_t1	10	1	0
patient1	p1_t1	10	2	17
patient1	p1_t1	10	3	67
patient1	p1_t1	10	4	0
patient1	p1_t1	10	5	16
patient1	p1_t1	10	6	0
patient1	p1_t1	11	1	0
