Patient_ID	Sample_ID	Cell_population	Cell_abundance
patient1	p1_t1	CL1	0
patient1	p1_t1	CL1_CL2	16
patient1	p1_t1	CL1_CL2_CL3	69
patient1	p1_t1	CL1_CL4	0
patient1	p1_t1	CL1_CL2_CL5	14
patient1	p1_t1	CL1_CL4_CL6	1
patient1	p1_t3	CL1	0
patient1	p1_t3	CL1_CL2	0
patient1	p1_t3	CL1_CL2_CL3	0
patient1	p1_t3	CL1_CL4	57
patient1	p1_t3	CL1_CL2_CL5	0
patient1	p1_t3	CL1_CL4_CL6	43
patient1	p1_t2	CL1	0
patient1	p1_t2	CL1_CL2	26
patient1	p1_t2	CL1_CL2_CL3	43
patient1	p1_t2	CL1_CL4	0
patient1	p1_t2	CL1_CL2_CL5	30
patient1	p1_t2	CL1_CL4_CL6	1
